id,name_pl,lon,lat
423,Dębno,20.71895,49.95904
498,Lipnica Wielka,19.62836,49.48472
679,Grudusk,20.62545,53.05881
828,Wyszogród,20.19201,52.38748
1068,Regnów,20.39088,51.74762
1187,Pieszyce,16.58306,50.71119
2395,Kędzierzyn-Koźle,18.12836,50.31475
2498,Dąbrowa Biskupia,18.53387,52.77645
3576,Trzebnica,17.08393,51.32318
3935,Wydrna,22.14397,49.70893
4449,Mieroszów,16.18657,50.66637
6851,Jaźwiny,19.40778,50.81748
11052,Stary Majdan,23.49105,50.90722
11239,Alojzów,23.55388,50.98946
11697,Kościno,14.37908,53.42348
11760,Motarzewo,16.37325,53.49708
13097,Brzeźnica,16.88699,53.89304
13179,Lewiczyn,20.86175,51.79938
13396,Smyczyna,16.49461,51.92386
15248,Jasienica,21.40462,52.41346
15301,Konotopa,20.82139,52.19701
15753,Patrzyków,19.01056,51.07134
16460,Gradki,20.56154,53.92408
19453,Sowia Wola,20.63718,52.35811
19717,Wrzosowo,14.81297,54.01476
19754,Wisła Mała,18.79407,49.93831
20240,Ludów Śląski,17.02698,50.84865
20273,Dąbrówka,17.60277,53.57614
20687,Sielachowskie,23.13536,53.18134
21277,Gołaszew,20.72885,52.20884
21313,Siedlin,20.40200,52.60843
23392,Rozewie,18.34710,54.81974
23534,Borek,18.14199,51.69277
23882,Błędowa Zgłobieńska,21.83744,50.03976
24284,Pańki,22.87691,53.12951
24610,Zamęcie,16.70789,53.63761
24793,Praca,19.57277,51.42470
24819,Wierzbie,17.59264,50.52811
24893,Adamowo,19.89554,52.91074
25391,Ligota Wielka,16.78811,50.75858
25659,Wadochowice,17.02165,50.67646
25723,Pień,18.21324,53.18142
25819,Kąty,18.92145,52.63647
26140,Police Mostowe,18.65169,52.12987
26183,Urzuty,15.41267,51.79294
26388,Kąty,17.51902,52.02476
26602,Strzeszewo,19.88552,52.98941
26653,Karpinek,15.68615,53.16326
26699,Wronów,22.03990,51.45519
26744,Dobrowoda,22.99732,53.03867
27000,Zieleniec,21.11890,53.42401
27752,Zażelazna,22.19929,52.01952
28140,Lutcza,21.90844,49.80271
28338,Rudaw,19.00538,53.03694
28385,Mołstowo,15.34740,53.98740
28505,Gołąb,23.14921,51.11959
28510,Starbienino,17.94790,54.74980
28784,Zagaj,18.68598,51.92262
29237,Zajma,23.44563,53.10290
29455,Czumów,23.96731,50.77158
29553,Chruszczyna Mała,20.46222,50.23681
29810,Świętoszyn,17.23061,51.52513
30457,Kuźnica Stara,18.71259,50.89904
30602,Niemcowa,20.67100,49.44816
30778,Lechanice,21.10505,51.74792
31027,Napiórki Ciężkie,21.39333,52.82791
31120,Radoszewo,18.27290,54.76914
31143,Henrykowice,17.45113,51.51653
31144,Podmiejska Wola,19.98753,50.36979
31150,Wielodróż,21.01286,52.94675
31570,Wodziczna,18.02489,51.14757
32196,Granica,19.19717,49.92018
32581,Zadziory,21.05683,53.19232
32775,Niebrów,19.96926,51.53953
32974,Dębowa Góra,20.48368,51.55866
33101,Morgi,19.26463,51.57771
33205,Żabinka,21.99450,54.12835
33940,Gołuń,17.98939,54.01731
34037,Rybno,16.45423,50.58647
34333,Szum,17.77735,51.04082
34342,Siekierowizna,18.66639,50.85120
34624,Psary Polskie,17.54041,52.34476
34647,Postawelek,23.05805,54.28841
34678,Mietel,20.97824,50.41832
36155,Adamierz,20.89981,50.20466
36312,Bródki,16.33960,52.43397
36542,Mszadla,19.90721,51.90153
36669,Podła Góra,15.35331,52.12952
36775,Niwiska Dolne,18.96192,51.09146
37119,Radłówek,18.17229,52.83238
38715,Rabinowo,18.75632,52.51852
39038,Witobel,16.70400,52.26830
39100,Drzewoszki Wielkie,19.56945,52.23335
39584,Książęcy Las,16.58409,51.80476
40047,Lisia Miedza,14.50102,52.93569
40129,Gęsikowo,20.95844,53.88838
40614,Słubica A,20.61761,52.01041
40698,Stare Prusy,18.05500,53.84960
40793,Jamno,19.90103,52.05836
40805,Pawłowo Kościelne,20.71306,53.07100
41018,Kamionka Dolna,22.32009,50.42415
