id,name_pl,lon,lat
1,Stare Miasto,17.01434,51.10874
2,Śródmieście,17.08127,51.11324
3,Krzyki,17.05319,51.07855
4,Psie Pole,17.03559,51.14586
5,Fabryczna,16.98647,51.11228
7,Brętowo,18.56000,54.36000
8,Brzeźno,18.62627,54.40277
10,Kokoszki,18.49196,54.35410
12,Letnica,18.65338,54.39097
13,Matarnia,18.47277,54.38282
14,Młyniska,18.64898,54.37064
15,Nowy Port,18.66599,54.40085
16,Oliwa,18.56375,54.40736
17,Olszynka,18.67773,54.33012
19,Osowa,18.47781,54.41978
23,Rudniki,18.70745,54.33941
24,Siedlce,18.61714,54.34709
27,Suchanino,18.60320,54.35477
28,Śródmieście,18.65637,54.34961
30,Wrzeszcz,18.59636,54.37822
36,Bemowo,20.91133,52.24091
37,Białołęka,21.00768,52.32899
38,Bielany,20.92866,52.29332
39,Mokotów,21.01715,52.19832
40,Ochota,20.96727,52.20997
41,Praga-Południe,21.08406,52.24168
42,Praga-Północ,21.02832,52.26330
43,Rembertów,21.14584,52.26307
44,Śródmieście,21.01900,52.23313
45,Targówek,21.06537,52.28238
46,Ursus,20.88379,52.19512
47,Ursynów,21.02912,52.13785
48,Wawer,21.17823,52.19622
49,Wesoła,21.05509,52.15177
50,Wilanów,21.11163,52.15613
51,Włochy,20.94782,52.17991
53,Żoliborz,20.98462,52.26971
54,Bieńczyce,20.02970,50.08872
56,Czyżyny,20.01648,50.06938
57,Dębniki,19.86237,50.01406
58,Grzegórzki,19.97356,50.06439
59,Grębałów,20.07504,50.09649
60,Łagiewniki,19.93920,50.01839
61,Łobzów,19.91154,50.07512
62,Mistrzejowice,20.00665,50.10361
63,Nowa Huta,20.02289,50.07707
64,Podgórze,19.94331,50.03765
65,Prądnik Biały,19.92886,50.09341
66,Prądnik Czerwony,19.95969,50.07958
68,Swoszowice,19.93967,49.97662
69,Stare Miasto,19.93820,50.06458
70,Wola Duchacka,19.96147,50.02393
71,Zwierzyniec,19.86095,50.05200
73,Chartowo,16.97551,52.38841
74,Dębiec,16.90590,52.36596
75,Fabianowo,16.84942,52.36742
76,Franowo,16.98838,52.37856
77,Głuszyna,16.95062,52.32002
78,Górczyn,16.87281,52.38540
79,Grunwald,16.87200,52.39591
80,Jeżyce,16.84479,52.43655
81,Junikowo,16.83784,52.39079
82,Karolin,16.98521,52.43142
83,Komandoria,16.96603,52.40569
84,Kotowo,16.85607,52.35718
85,Krzesiny,16.98495,52.34536
86,Ławica,16.82059,52.41066
87,Łazarz,16.89380,52.39409
88,Malta,16.96358,52.39865
89,Marcelin,16.87895,52.40373
90,Naramowice,16.94658,52.45695
91,Nowe Miasto,16.98658,52.37832
92,Ogrody,16.87466,52.41572
93,Piątkowo,16.91912,52.45528
